Membership No  Date Joined  Active  
    85160      2016-10-4    yes   
    68022      2018-6-19    no    
    50431      2019-11-5    yes   
    22227      2015-1-16    yes   
    27237      2020-12-20   no    
    72228      2016-3-20    no    
    74421      2019-1-13    yes   
    45890      2016-12-14   yes   
    94283      2020-3-14    no    
    44592      2020-5-7     yes   
    61739      2019-2-15    yes   
    59392      2020-2-17    yes   
    63369      2015-9-19    no    
    43598      2018-5-8     no    
    93349      2017-9-15    yes   
    35952      2016-6-23    no    
    58206      2019-4-25    yes   
    49607      2016-6-15    no    
    22360      2017-11-10   yes   
    61741      2015-8-9     yes   
