Membership No  Date Joined  Active  
    85190      2016-8-19    yes   
    60718      2018-1-7     no    
    99164      2018-9-13    no    
    29108      2019-2-1     no    
    47445      2019-11-5    no    
    46897      2015-11-1    yes   
    58643      2020-10-13   no    
    69894      2019-9-13    no    
    83179      2015-5-13    yes   
    26588      2020-9-8     no    
    44223      2019-10-6    no    
    28855      2015-3-3     yes   
    37547      2019-4-2     yes   
    77321      2019-12-4    yes   
    18279      2017-5-13    no    
    41409      2017-12-10   yes   
    27972      2020-12-18   no    
    42591      2020-3-12    yes   
    36957      2017-9-8     no    
    48801      2017-8-9     yes   
